Time,Names,Frame_idx,Bboxes,Emotion
52.64,"['Unknown']",1316,"[[0.4255953516278948, 0.1132923232184516, 0.5297792639051165, 0.32359171670580666]]","[['glow', 'mystical', 'fun', 'fantasy', 'love', 'celebration']]"
53.04,"['Unknown']",1326,"[[0.4314065320151193, 0.1492273391239227, 0.5156916890825544, 0.326275870913551]]","[['death', 'faithful', 'glow', 'fantasy', 'hope', 'wedding']]"
53.24,"[]",1331,"[]","[]"
53.44,"['JACK']",1336,"[[0.5155228206089565, 0.30918599688817583, 0.5494990348815918, 0.3847410111200242]]","[['glow', 'mystical', 'fantasy', 'magical', 'mysterious', 'fun']]"
53.64,"[]",1341,"[]","[]"
54.04,"[]",1351,"[]","[]"
54.24,"['Unknown']",1356,"[[0.49052510942731586, 0.3759836772131541, 0.5206453119005475, 0.44069150894407244]]","[['criminal', 'happy', 'success', 'love', 'addiction', 'problem']]"
54.44,"['Unknown']",1361,"[[0.5483867440904889, 0.2423986556038024, 0.6256987026759556, 0.4568393041217138]]","[['criminal', 'danger', 'addiction', 'murder', 'dangerous', 'mysterious']]"
54.64,"['RHYMASTIC']",1366,"[[0.5537554536546979, 0.25819845048208084, 0.630340576171875, 0.4449282752143012]]","[['criminal', 'danger', 'addiction', 'mysterious', 'fraud', 'mystery']]"
55.04,"['Unknown']",1376,"[[0.5163265636989048, 0.2701541658431765, 0.5727102415902274, 0.3942517477368552]]","[['glow', 'vibrant', 'fantasy', 'vivid', 'mysterious', 'mystical']]"
55.24,"[]",1381,"[]","[]"
55.44,"[]",1386,"[]","[]"
55.64,"['Unknown', 'Unknown']",1391,"[[0.5880516597202846, 0.41273380461193265, 0.6237242562430245, 0.48759148612854974], [0.35207908494131906, 0.4173560066828652, 0.38674637249537874, 0.5020557585216704]]","[['disease', 'care', 'addiction', 'pain', 'bothered', 'pressure'], ['disease', 'pain', 'danger', 'bothered', 'death', 'care']]"
